RESULT ALG RULESETSIZE SEED SMOOTH ADDRESS_SCOPE APP_SCOPE PA PB SCALE AVG MIN_AVG32 MAX_AVG32 MEM_AVG MINMEM_AVG32 MAXMEM_AVG32
RESULT follow 256 ipc1_seed 2 0.5 -0.1 10 10 1000 47.4784625 35.5359 59.0106 1018.375 996 1024
RESULT follow 256 ipc1_seed 2 0.5 -0.1 10 100 1000 19.3074625 11.2634 32.6555 1016.75 1004 1024
RESULT follow 256 ipc1_seed 2 0.5 -0.1 10 1000 1000 16.0803628125 5.17909 36.4229 1019.0 1008 1024
RESULT follow 256 ipc1_seed 2 0.5 -0.1 10 10000 1000 20.33207375 1.77857 63.3068 1017.75 1008 1024
RESULT follow 256 ipc2_seed 2 0.5 -0.1 10 1 1000 132.59034375 102.73100000000001 160.543 777.25 636 892
RESULT follow 256 ipc2_seed 2 0.5 -0.1 10 10 1000 72.26905937499998 37.7908 104.074 737.75 548 872
RESULT follow 256 ipc2_seed 2 0.5 -0.1 10 100 1000 52.6797625 31.6933 76.4883 769.625 632 860
RESULT follow 256 ipc2_seed 2 0.5 -0.1 10 1000 1000 46.5876875 21.2909 70.8776 747.0 572 888
RESULT follow 256 ipc2_seed 2 0.5 -0.1 10 10000 1000 46.35813625 8.192860000000001 100.787 760.125 620 912
RESULT followfast 256 acl1_seed 2 0.5 -0.1 10 1 1000 69.978046875 66.7628 74.527 4208.0 2356 6168
RESULT followfast 256 acl1_seed 2 0.5 -0.1 10 10 1000 17.158315625 13.6137 20.5978 3951.875 2524 5884
RESULT followfast 256 acl1_seed 2 0.5 -0.1 10 100 1000 5.1174634375 2.90361 7.60958 3884.125 2384 6004
RESULT followfast 256 acl1_seed 2 0.5 -0.1 10 1000 1000 3.8283471875 1.3399 8.755239999999999 4056.875 2484 6744
RESULT followfast 256 acl1_seed 2 0.5 -0.1 10 10000 1000 6.046690625 1.00823 21.6084 3754.375 2484 5368
RESULT followfast 256 acl2_seed 2 0.5 -0.1 10 1 1000 86.44545000000001 82.3056 91.6215 11154.625 7236 16848
RESULT followfast 256 acl2_seed 2 0.5 -0.1 10 10 1000 44.78573125 32.6777 54.17100000000001 10775.75 5580 13500
RESULT followfast 256 acl2_seed 2 0.5 -0.1 10 100 1000 29.605971875 17.0152 39.3344 10621.125 7192 13792
RESULT followfast 256 acl2_seed 2 0.5 -0.1 10 1000 1000 27.479171875 16.5163 41.1505 10641.25 7516 14000
RESULT followfast 256 acl2_seed 2 0.5 -0.1 10 10000 1000 26.534907500000003 1.71984 52.7032 10878.5 6456 13508
RESULT followfast 256 acl3_seed 2 0.5 -0.1 10 1 1000 72.147790625 69.273 75.2086 3366.75 2388 5032
RESULT followfast 256 acl3_seed 2 0.5 -0.1 10 10 1000 18.112203125 15.1223 22.0038 3475.375 2648 4792
RESULT followfast 256 acl3_seed 2 0.5 -0.1 10 100 1000 5.5268159375 3.67153 10.0551 3247.375 2560 4640
RESULT followfast 256 acl3_seed 2 0.5 -0.1 10 1000 1000 4.2790428125 2.06662 7.25661 3509.5 2548 4788
RESULT followfast 256 acl3_seed 2 0.5 -0.1 10 10000 1000 10.565582500000001 1.01219 20.9179 3553.5 2544 5044
RESULT followfast 256 acl4_seed 2 0.5 -0.1 10 1 1000 71.914525 68.8992 74.2366 3127.375 2400 4696
RESULT followfast 256 acl4_seed 2 0.5 -0.1 10 10 1000 17.392953125000002 14.7468 20.8819 3037.125 2444 4748
RESULT followfast 256 acl4_seed 2 0.5 -0.1 10 100 1000 4.826683125000001 2.9773 6.31602 3034.125 2424 4064
RESULT followfast 256 acl4_seed 2 0.5 -0.1 10 1000 1000 3.6089903125 1.5871 5.69151 3161.5 2340 4364
RESULT followfast 256 acl4_seed 2 0.5 -0.1 10 10000 1000 7.024301250000001 1.01273 16.6912 2993.625 2308 4280
RESULT followfast 256 acl5_seed 2 0.5 -0.1 10 1 1000 63.637609375 60.2233 65.9557 2015.875 1912 2084
RESULT followfast 256 acl5_seed 2 0.5 -0.1 10 10 1000 11.7052625 10.6496 12.0758 2004.875 1808 2068
RESULT followfast 256 acl5_seed 2 0.5 -0.1 10 100 1000 2.142873125 2.06166 2.1938 2019.5 1876 2068
